[23:15:22] Can't kekulize mol.  Unkekulized atoms: 6 11 14 16 17 18

[23:15:31] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 8 10

[23:15:35] Can't kekulize mol.  Unkekulized atoms: 3 5 25 26 27 28

[23:15:38] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 10

[23:15:38] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 10

[23:15:38] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 10

[23:15:38] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 10

[23:15:38] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 10

[23:15:38] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 10

[23:15:38] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 10

[23:15:41] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:15:41] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:15:42] Can't kekulize mol.  Unkekulized atoms: 3 8

[05/10/20 23:15:43 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:15:44] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:15:44] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:15:44] Can't kekulize mol.  Unkekulized atoms: 3 14

[23:15:44] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:15:44] Can't kekulize mol.  Unkekulized atoms: 3 14

[23:15:45] Can't kekulize mol.  Unkekulized atoms: 3 4 6 7 8 9

[23:15:47] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:15:47] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:15:48] Can't kekulize mol.  Unkekulized atoms: 0 2 4 5 6 9

[05/10/20 23:15:54 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[05/10/20 23:15:54 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:15:55] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:15:55] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:15:59] Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23

[23:16:04] Can't kekulize mol.  Unkekulized atoms: 2 5

[05/10/20 23:16:15 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:16:19] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:16:24] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 10

[23:16:29] Can't kekulize mol.  Unkekulized atoms: 3 6

[23:16:36] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:16:39] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:16:39] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:16:47] Can't kekulize mol.  Unkekulized atoms: 3 11

[23:16:50] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:16:55] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:17:03] Can't kekulize mol.  Unkekulized atoms: 0 2 4 6 7 9

[23:17:04] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:17:05] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:17:14] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:17:14] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:17:14] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:17:14] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:17:15] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:17:15] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:17:32] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:17:43] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:17:51] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 8 9

[23:17:53] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:17:53] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:17:53] Can't kekulize mol.  Unkekulized atoms: 3 14

[23:17:54] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:17:54] Can't kekulize mol.  Unkekulized atoms: 3 14

[23:17:57] WARNING: not removing hydrogen atom without neighbors
[23:18:02] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:18:02] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:18:04] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:18:05] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:18:05] Can't kekulize mol.  Unkekulized atoms: 3 9

